field,biome,country,pesticide_kg_ha,nearbyorg,pest_abu_ha
conventional,tropical,Y,2.985,0.01,339.3
conventional,tropical,J,4.571,0.04,313.4
organic,temperate,F,1.295,0.29,285.7
conventional,tropical,E,3.089,0.01,321.5
organic,tropical,M,1.584,0.49,347.4
organic,tropical,W,1.654,0.34,373.8
conventional,tropical,N,5.587,0.03,299.9
conventional,tropical,N,2.772,0,313.5
organic,tropical,K,1.555,0.43,372.1
organic,temperate,R,0.869,0.49,281
conventional,temperate,Z,3.539,0,300
conventional,temperate,V,3.043,0.01,257.2
conventional,boreal,S,2.732,0.01,213.4
conventional,temperate,I,1.2,0.05,250.3
organic,tropical,Y,1.201,0.37,383.2
conventional,tropical,N,4.282,0.01,299.6
conventional,temperate,D,3.361,0.02,254.6
conventional,temperate,C,3.159,0.04,254.5
organic,boreal,K,1.36,0.47,241.5
conventional,tropical,E,3.743,0.03,340.2
conventional,temperate,R,3.21,0.05,274.6
organic,temperate,H,0.772,0.61,278.4
organic,boreal,F,0.67,0.36,239.3
conventional,tropical,A,3.035,0.05,316.6
organic,tropical,B,2.6,0.46,346
organic,boreal,H,0.336,0.47,240.6
organic,boreal,B,0.621,0.47,249.6
organic,boreal,V,1.382,0.51,253.3
organic,temperate,N,0.406,0.46,295.2
organic,boreal,M,0.13,0.38,254.6
organic,tropical,X,2.025,0.33,365
organic,tropical,S,1.662,0.56,328.8
conventional,temperate,L,3.071,0,288.2
organic,boreal,B,0.724,0.47,264.2
organic,boreal,Z,0.756,0.24,279.3
organic,boreal,L,0.463,0.37,231.4
conventional,boreal,L,2.42,0.03,238.5
organic,temperate,P,0.759,0.47,289.2
conventional,boreal,M,1.608,0.03,226.1
organic,boreal,D,0.794,0.4,252.4
organic,boreal,X,0.448,0.27,271.1
conventional,boreal,J,3.321,0.01,204.4
organic,temperate,S,1.227,0.5,272.6
organic,temperate,C,0.046,0.52,292.6
organic,tropical,L,1.73,0.43,360.5
conventional,boreal,H,3.16,0,200.5
organic,tropical,L,1.533,0.36,384
organic,boreal,J,0.389,0.37,240.6
conventional,tropical,D,2.255,0,351
organic,boreal,Z,0.36,0.4,274.5
conventional,tropical,W,2.865,0.01,360.3
organic,boreal,R,1.063,0.41,253.1
conventional,boreal,A,3.318,0.03,168
conventional,boreal,A,3.349,0.01,233.8
conventional,boreal,A,1.695,0.03,253.2
organic,tropical,X,1.596,0.4,362.5
conventional,temperate,T,0.754,0.03,299.4
conventional,tropical,S,0.913,0.02,352.5
organic,tropical,C,2.302,0.55,319.5
conventional,tropical,V,2.82,0,334.3
organic,boreal,I,0.315,0.59,276.5
organic,boreal,E,1.593,0.44,277.7
organic,tropical,Y,1.138,0.5,337.2
conventional,tropical,S,4.385,0.01,327.3
conventional,boreal,E,1.402,0.04,258.8
conventional,boreal,V,0.448,0.01,265
organic,tropical,P,2.505,0.52,338.5
organic,tropical,S,1.916,0.57,372.6
conventional,tropical,L,2.904,0,329.2
organic,boreal,W,0.694,0.32,273.6
conventional,boreal,K,2.914,0.06,237.2
conventional,temperate,V,2.835,0.02,241.7
organic,tropical,A,1.78,0.4,336.1
conventional,temperate,I,2.93,0.01,210.3
conventional,temperate,Q,2.314,0.02,263.5
organic,boreal,T,0.652,0.55,248
conventional,boreal,Y,3.07,0.05,197.8
organic,tropical,J,1.437,0.45,318.4
organic,boreal,X,0.916,0.34,240.9
organic,boreal,B,0.731,0.43,274.1
organic,tropical,N,1.756,0.38,340
organic,temperate,J,0.093,0.51,312.8
organic,tropical,X,1.328,0.36,370.8
conventional,boreal,H,1.799,0,220.2
conventional,boreal,C,1.888,0.03,247.6
conventional,boreal,J,2.554,0.08,207.8
organic,boreal,G,0.832,0.5,271.9
organic,boreal,D,0.68,0.43,258.6
conventional,boreal,L,2.329,0.07,212.2
conventional,tropical,O,3.579,0.03,336.2
organic,boreal,K,0.542,0.53,293
organic,temperate,T,1.119,0.38,251.7
conventional,tropical,U,4.966,0,278.4
conventional,temperate,G,4.213,0.03,234.6
organic,boreal,L,1.287,0.51,280.1
organic,boreal,D,0.724,0.43,222.3
conventional,temperate,Q,0.988,0.12,267.3
conventional,tropical,B,1.752,0,346.6
conventional,boreal,E,0.68,0,243.4
organic,temperate,J,1.471,0.32,290.8
conventional,tropical,T,4.092,0.02,351.8
organic,boreal,G,1.038,0.47,236.7
organic,boreal,E,0.705,0.43,289.2
organic,boreal,N,1.09,0.51,227.5
organic,boreal,U,0.163,0.39,263.1
conventional,temperate,G,1.179,0.06,248.8
organic,boreal,U,0.294,0.53,237.4
organic,boreal,D,0.374,0.53,187.3
organic,tropical,Z,2.015,0.32,386.4
organic,temperate,H,0.342,0.33,337.2
organic,boreal,U,0.846,0.43,207.2
conventional,tropical,Z,4.724,0.03,326
conventional,temperate,G,3.209,0.03,243.4
conventional,tropical,T,4.613,0.01,285.1
organic,tropical,I,2.168,0.48,365.1
conventional,temperate,I,2.023,0.06,269
conventional,temperate,O,3.16,0.11,227.4
conventional,temperate,J,4.353,0.04,234.6
conventional,tropical,N,2.493,0,344.3
conventional,tropical,P,2.356,0.01,331.4
conventional,boreal,H,3.143,0.08,187.4
conventional,temperate,Z,4.384,0,205.4
conventional,temperate,K,3.293,0.07,204.3
organic,tropical,T,1.774,0.32,333.7
conventional,tropical,Y,4.08,0.05,314.6
organic,temperate,E,0.504,0.45,288.8
conventional,tropical,L,2.595,0.01,338.1
conventional,tropical,S,1.965,0.03,321
conventional,boreal,M,3.014,0.11,200.9
organic,tropical,L,1.761,0.33,384.8
conventional,tropical,R,3.614,0.01,324.5
conventional,boreal,V,2.122,0,253.7
organic,boreal,R,0.136,0.34,271.8
organic,boreal,R,0.821,0.48,226.9
organic,temperate,C,1.037,0.53,256.6
conventional,tropical,V,3.402,0.07,371.2
organic,tropical,K,1.365,0.47,353.4
conventional,temperate,B,1.611,0.05,271.3
organic,temperate,D,1.176,0.46,227.8
conventional,boreal,U,3.443,0.04,218.5
organic,tropical,X,1.065,0.44,401.4
organic,boreal,K,0.13,0.52,232
conventional,temperate,K,2.157,0,253.8
conventional,tropical,U,4.951,0.06,320.8
conventional,temperate,Q,1.251,0,293.2
conventional,tropical,M,2.41,0.03,352.4
conventional,temperate,M,0.263,0.03,292.4
organic,tropical,J,1.149,0.6,340
conventional,boreal,B,1.503,0,251
organic,tropical,B,1.666,0.32,341.4
organic,tropical,E,1.688,0.36,399.9
organic,temperate,W,1.082,0.35,281.4
conventional,temperate,T,2.849,0.03,232.5
organic,temperate,R,0.754,0.39,265.3
conventional,temperate,R,1.984,0,215.9
conventional,temperate,Y,2.904,0.08,276.8
organic,boreal,D,0.333,0.61,275.9
organic,boreal,P,0.347,0.56,211.9
conventional,boreal,I,2.863,0.01,234
organic,temperate,H,0.919,0.46,311.2
conventional,tropical,C,3.241,0.05,332.6
conventional,boreal,S,2.174,0,240.6
conventional,temperate,H,3.454,0.03,271.5
organic,temperate,N,0.926,0.49,306.9
organic,temperate,R,0.843,0.27,282.8
organic,temperate,V,1.735,0.29,318.3
organic,tropical,A,2.129,0.6,333.2
conventional,boreal,F,5.277,0.02,188.2
conventional,temperate,K,2.511,0,291
organic,boreal,M,0.912,0.34,287.6
conventional,tropical,A,4.03,0.04,365.7
conventional,temperate,B,4.808,0,223.1
organic,tropical,R,1.281,0.42,382
conventional,temperate,K,2.822,0.02,219.8
conventional,tropical,W,4.797,0,317.9
conventional,temperate,P,1.9,0,223.7
organic,boreal,N,0.483,0.26,273
conventional,tropical,J,4.454,0,332.8
organic,temperate,J,0.589,0.42,283.4
conventional,tropical,T,4.388,0.01,327.9
conventional,temperate,J,4.839,0.01,217.4
organic,temperate,U,0.882,0.43,268
organic,tropical,K,1.402,0.6,359.7
conventional,temperate,H,3.061,0.02,271.8
organic,temperate,D,0.89,0.39,286
conventional,temperate,N,2.055,0.03,234.1
organic,temperate,Y,1.086,0.52,288.3
conventional,temperate,Z,2.26,0.11,275.5
conventional,tropical,J,6.16,0.04,296.7
organic,tropical,W,0.047,0.54,363.2
conventional,boreal,U,4.578,0.04,183.5
organic,tropical,Z,1.877,0.5,354
organic,boreal,Y,0.293,0.51,242.6
organic,temperate,O,1.331,0.4,294.4
conventional,tropical,Q,4.218,0.06,326.5
conventional,tropical,K,5.777,0.08,279.4
organic,temperate,I,0.765,0.26,263.3
conventional,tropical,H,2.83,0.04,320.7
conventional,tropical,A,4.045,0.02,344.5
organic,boreal,O,0.591,0.36,288.3
organic,temperate,J,0.846,0.34,308.4
conventional,tropical,W,3.438,0,324
organic,tropical,D,1.976,0.51,328.5
conventional,boreal,V,2.388,0,229.1
organic,boreal,N,1.02,0.38,195.1
conventional,tropical,B,4.578,0.01,326.9
conventional,tropical,R,3.571,0.05,318.8
conventional,boreal,B,0.198,0.04,288.6
organic,boreal,M,0.114,0.35,285.9
organic,tropical,E,1.336,0.41,369.3
organic,tropical,Y,1.107,0.33,367.5
conventional,boreal,C,3.456,0.04,207.7
conventional,boreal,B,2.383,0.07,225.2
conventional,tropical,H,1.737,0.05,359.1
organic,tropical,S,1.547,0.29,392.8
conventional,temperate,J,2.46,0,276.4
organic,boreal,C,1.092,0.22,264
organic,tropical,M,1.759,0.32,404.7
conventional,tropical,E,3.506,0.02,349.6
organic,temperate,O,1.206,0.35,265
organic,tropical,X,1.569,0.47,373.3
conventional,temperate,X,3.373,0.05,257.2
conventional,boreal,J,2.08,0.03,216.4
organic,boreal,A,0.872,0.61,231.1
conventional,tropical,S,3.189,0.02,368.4
conventional,temperate,E,2.639,0.01,288.4
organic,temperate,H,1.124,0.44,329.5
organic,temperate,F,0.326,0.47,291.3
conventional,boreal,E,2.884,0.01,216.7
organic,tropical,E,2.062,0.42,403.2
organic,temperate,T,0.901,0.35,293.2
organic,boreal,L,0.243,0.53,270.7
conventional,temperate,G,2.361,0.08,260.9
organic,tropical,H,1.323,0.49,336
conventional,boreal,H,3.615,0.06,190.8
conventional,temperate,D,3.964,0.03,233.2
organic,tropical,D,1.773,0.44,354.3
organic,boreal,D,1.077,0.58,226
organic,boreal,R,1.02,0.54,246.1
organic,boreal,I,1.035,0.39,240
conventional,tropical,C,4.396,0.01,351.9
conventional,tropical,H,4.254,0.05,285.7
organic,temperate,R,0.448,0.45,206.6
organic,tropical,A,1.126,0.33,408.9
conventional,boreal,M,3.413,0.02,185.3
organic,boreal,S,0.343,0.34,231.5
organic,temperate,V,0.97,0.41,271.1
organic,temperate,X,0.646,0.35,307.9
conventional,tropical,P,3.075,0.08,332.5
organic,temperate,C,0.474,0.47,275.2
conventional,boreal,L,1.688,0,273.6
conventional,temperate,L,3.091,0.04,228.2
organic,temperate,I,0.351,0.45,310.6
conventional,tropical,J,1.629,0.01,424
organic,temperate,H,0.994,0.49,268.4
organic,temperate,D,0.584,0.38,345.8
organic,boreal,L,0.387,0.5,246
organic,temperate,T,0.814,0.47,255.8
organic,temperate,C,1.021,0.41,265.2
conventional,tropical,M,4.343,0.05,312.9
organic,boreal,X,0.499,0.4,210.2
organic,boreal,O,0.532,0.41,261.3
organic,tropical,B,2.143,0.3,375.5
conventional,temperate,T,2.455,0.05,261
organic,temperate,U,1.051,0.29,290.3
conventional,boreal,W,2.777,0.01,220.7
conventional,boreal,F,1.102,0.02,277.3
organic,temperate,E,1.249,0.34,309.8
organic,temperate,P,1.043,0.39,256.1
organic,temperate,M,0.871,0.38,278.9
organic,temperate,A,1.257,0.51,320.3
conventional,boreal,J,2.667,0.05,255.3
organic,tropical,I,1.604,0.34,326.5
conventional,boreal,Q,2.153,0.02,176
conventional,temperate,O,1.331,0.01,284.3
conventional,tropical,J,1.767,0.02,400
conventional,boreal,L,2.076,0.02,249.2
organic,tropical,H,2.158,0.51,360.1
conventional,boreal,C,2.166,0.03,261.7
conventional,boreal,M,3.229,0.02,200
organic,tropical,D,1.522,0.28,356.8
conventional,tropical,Q,2.305,0.01,355.5
organic,temperate,Z,1.123,0.36,296.1
conventional,boreal,C,1.575,0,226
conventional,tropical,D,4.328,0.07,341.7
organic,boreal,D,0.914,0.5,253.9
organic,tropical,R,2.074,0.47,310.6
organic,tropical,Q,1.511,0.48,380.1
organic,tropical,C,1.546,0.33,339.8
organic,tropical,P,1.595,0.36,359.7
organic,temperate,G,1.228,0.41,261.3
organic,temperate,H,0.815,0.44,308.6
organic,tropical,O,1.839,0.33,357.9
conventional,temperate,F,1.541,0.01,256.3
organic,boreal,H,0.207,0.5,249.4
conventional,boreal,B,2.36,0.03,226.8
organic,boreal,E,0.742,0.46,227.5
conventional,boreal,I,2.545,0.06,186
organic,temperate,Q,0.873,0.58,253
organic,boreal,V,0.5,0.37,227.8
conventional,tropical,U,3.719,0.04,256.1
conventional,tropical,M,3.209,0.03,335.6
conventional,tropical,Q,1.973,0.02,313.2
organic,tropical,N,1.597,0.62,345.2
organic,temperate,X,0.301,0.48,285.4
conventional,temperate,D,3.274,0.09,231.5
organic,tropical,N,1.28,0.41,403.5
organic,temperate,L,0.804,0.35,325.7
conventional,boreal,S,1.273,0.01,240.4
organic,boreal,V,1.241,0.54,232.2
conventional,temperate,F,3.834,0.02,215.2
organic,boreal,Q,0.44,0.43,278.6
conventional,tropical,X,3.615,0.01,315.1
conventional,boreal,P,2.061,0.02,234.5
conventional,tropical,T,4.137,0.02,326.4
conventional,boreal,W,2.201,0.07,214.9
conventional,tropical,F,3.294,0.01,299.8
organic,tropical,U,1.958,0.28,381.4
conventional,temperate,Q,2.738,0.05,235.5
conventional,tropical,A,1.626,0,376.1
organic,boreal,B,0.235,0.28,253.7
organic,tropical,C,2.447,0.25,407
organic,temperate,M,0.796,0.27,305.5
conventional,temperate,L,1.374,0.13,270.1
organic,boreal,Z,1.057,0.44,217.1
conventional,boreal,K,2.761,0,207
organic,tropical,B,1.111,0.43,388.5
conventional,boreal,K,4.381,0.01,213.2
conventional,tropical,S,4.485,0,324.9
organic,temperate,Q,0.418,0.43,292.6
conventional,boreal,A,3.327,0.03,213.3
conventional,tropical,V,3.97,0.01,348.1
organic,temperate,H,0.794,0.46,243.3
organic,tropical,Q,1.985,0.46,333.6
organic,tropical,Q,1.276,0.38,361.9
organic,boreal,I,0.471,0.34,267.2
conventional,temperate,U,1.64,0.04,244.8
organic,tropical,T,1.901,0.45,354.9
organic,boreal,W,0.065,0.53,272
conventional,tropical,C,1.831,0.01,365
organic,temperate,N,1.254,0.43,283.2
organic,temperate,C,1.33,0.46,307.3
conventional,tropical,I,2.486,0.04,339.7
organic,boreal,M,0.389,0.33,280.5
conventional,tropical,K,3.91,0.05,336
conventional,temperate,T,0.996,0,305.4
conventional,temperate,S,2.528,0,239.7
organic,tropical,S,1.693,0.37,342.1
organic,boreal,L,0.997,0.36,252
conventional,temperate,H,3.364,0.07,239.8
organic,temperate,B,0.677,0.41,313.7
organic,tropical,M,1.691,0.53,349.8
conventional,boreal,U,2.782,0.04,255.3
organic,tropical,M,1.091,0.4,374.3
organic,boreal,A,0.432,0.3,268.7
organic,tropical,L,2.013,0.42,364.6
organic,boreal,N,1.374,0.49,253.8
organic,temperate,H,0.997,0.38,217.9
conventional,temperate,F,1.999,0,278.4
conventional,tropical,H,3.345,0.02,359.7
organic,temperate,W,1.2,0.4,288.6
conventional,tropical,Z,0.583,0.04,351.3
conventional,tropical,L,2.678,0.01,339.4
conventional,tropical,M,3.886,0.02,309.4
organic,temperate,U,1.004,0.49,301.4
conventional,boreal,H,2.618,0,237.7
conventional,temperate,T,1.61,0.05,257.3
organic,boreal,R,1.037,0.42,258.4
organic,temperate,H,0.506,0.53,285.8
conventional,boreal,C,2.137,0.01,212.2
organic,tropical,C,1.231,0.41,368.6
organic,temperate,Z,0.451,0.41,247.3
organic,boreal,P,0.591,0.36,273.7
conventional,temperate,Q,1.38,0.09,308.8
conventional,temperate,H,1.863,0.01,287.4
organic,boreal,C,0.748,0.49,275.2
conventional,boreal,C,1.664,0.02,216.9
organic,temperate,E,1.225,0.54,290.5
organic,tropical,Y,1.268,0.38,366.7
organic,temperate,U,1.182,0.41,312.3
conventional,tropical,K,3.643,0.02,336.8
conventional,temperate,X,2.552,0.11,258.3
organic,temperate,N,1.439,0.48,277.9
conventional,temperate,P,0.48,0.02,289.5
organic,boreal,G,0.911,0.35,278.4
conventional,boreal,Y,2.045,0,229.9
conventional,temperate,P,1.714,0,228.2
conventional,boreal,V,3.262,0.01,236.8
organic,boreal,C,0.537,0.41,239.1
organic,boreal,D,0.383,0.34,248
conventional,tropical,F,2.621,0.02,334.1
organic,tropical,T,2.054,0.45,382
conventional,temperate,Y,2.261,0.02,259.7
organic,temperate,S,1.427,0.57,259.8
conventional,tropical,A,3.909,0.02,325.9
organic,temperate,K,0.696,0.41,250.6
organic,boreal,F,0.475,0.36,253.1
organic,temperate,Q,1.353,0.54,264.8
organic,boreal,J,0.645,0.42,239.1
conventional,boreal,S,4.109,0.06,218.9
organic,boreal,U,0.816,0.42,237.3
conventional,tropical,O,1.863,0.04,327.1
organic,temperate,Y,0.788,0.6,300.8
conventional,temperate,M,4.824,0,238.4
conventional,tropical,Y,3.412,0,334.2
conventional,boreal,W,3.489,0.01,224.7
organic,temperate,D,1.149,0.29,287.9
conventional,tropical,P,3.677,0.01,303.2
conventional,boreal,A,0.126,0.07,259.9
organic,temperate,F,1.479,0.49,263.7
organic,temperate,O,1.043,0.57,269.7
conventional,tropical,J,3.7,0.08,308.3
organic,boreal,W,0.424,0.48,279.7
organic,boreal,I,0.593,0.47,257
conventional,temperate,W,1.489,0.06,242.2
conventional,temperate,E,3.165,0.05,251.6
organic,boreal,R,0.866,0.51,224.6
organic,tropical,G,2.086,0.41,364.1
organic,boreal,F,0.496,0.45,282.5
organic,tropical,Y,1.604,0.49,375.9
conventional,temperate,C,3.387,0,238.2
organic,tropical,Z,1.803,0.4,368.3
conventional,temperate,F,1.352,0.01,259
organic,temperate,I,0.699,0.47,294.6
organic,boreal,C,0.629,0.42,219.6
conventional,tropical,R,1.219,0.03,389.1
conventional,tropical,H,3.557,0.02,342.6
organic,temperate,B,0.844,0.39,271.4
organic,boreal,V,0.151,0.56,250.6
conventional,temperate,R,2.446,0.11,233.9
conventional,temperate,W,2.566,0.05,277.5
conventional,boreal,D,1.876,0.03,229.2
conventional,boreal,Z,1.277,0.07,247.9
conventional,boreal,O,2.066,0.09,220.6
organic,tropical,M,1.396,0.3,381.7
organic,tropical,M,1.968,0.39,388.3
conventional,temperate,P,2.922,0.01,250.8
organic,boreal,V,0.753,0.36,292.4
conventional,temperate,X,3.598,0.09,260.7
organic,tropical,A,1.461,0.45,357.3
organic,temperate,V,1.689,0.49,325
conventional,tropical,E,3.231,0.04,381.8
conventional,temperate,Y,2.098,0,267.8
organic,boreal,T,1.011,0.61,219.1
organic,temperate,D,0.778,0.35,332.7
conventional,temperate,H,1.603,0,309.5
organic,temperate,M,1.701,0.47,241.8
organic,temperate,Y,1.692,0.39,305.2
conventional,tropical,B,1.008,0.01,347.3
conventional,boreal,E,4.723,0,156.1
conventional,temperate,E,3.652,0.03,242.5
conventional,tropical,W,3.404,0.03,355.6
organic,temperate,D,0.568,0.45,303.7
conventional,temperate,M,1.616,0.02,262.2
conventional,boreal,Q,4.173,0.07,190.7
conventional,tropical,G,3.696,0.06,327.4
organic,temperate,F,0.998,0.27,282.8
conventional,tropical,Q,4.869,0.02,312.2
organic,boreal,F,0.262,0.47,236.7
organic,boreal,E,1.125,0.45,214.4
conventional,temperate,M,3.743,0.03,246.3
organic,temperate,J,0.458,0.42,294.9
organic,tropical,D,1.007,0.59,319
organic,tropical,L,1.999,0.33,373.6
conventional,temperate,N,2.685,0.1,269.6
conventional,temperate,Z,1.662,0.01,257.2
conventional,boreal,N,2.645,0.02,234.7
organic,temperate,J,0.798,0.52,302.2
organic,temperate,Z,0.35,0.51,287.6
conventional,temperate,T,1.26,0.03,301.8
organic,tropical,F,2.035,0.48,340.5
organic,boreal,D,1.034,0.38,225.9
conventional,temperate,J,0.625,0.08,312.3
organic,boreal,Q,1.161,0.23,219.4
organic,tropical,Q,2.259,0.32,340.3
conventional,temperate,K,2.654,0.01,222
organic,temperate,X,1.199,0.3,312.9
organic,temperate,B,0.191,0.38,325.3
conventional,tropical,P,6.2,0.03,309
conventional,temperate,X,3.057,0.01,255.4
conventional,tropical,I,2.803,0.01,358.4
conventional,tropical,X,2.423,0.01,336.3
conventional,temperate,C,2.226,0.04,265.7
organic,temperate,J,0.908,0.5,302.1
conventional,tropical,F,3.323,0.02,333
organic,temperate,R,1.02,0.63,286.1
conventional,tropical,X,1.98,0.01,363.8
organic,tropical,N,2.131,0.4,381.6
organic,temperate,U,0.909,0.49,253.3
organic,temperate,G,1.222,0.52,281.2
organic,temperate,G,1.871,0.57,242.9
conventional,tropical,W,4.242,0.08,320
conventional,tropical,J,2.246,0.04,336.1
organic,boreal,O,0.959,0.45,276.5
organic,temperate,Q,1.311,0.44,291.8
organic,boreal,G,1.547,0.52,229.9
organic,temperate,K,0.575,0.47,299.8
organic,tropical,Y,2.023,0.42,336.6
organic,boreal,K,1.504,0.42,240.4
organic,temperate,D,0.632,0.4,286.5
organic,tropical,M,1.568,0.33,366.9
organic,boreal,T,1.335,0.44,257.4
conventional,tropical,L,3.548,0.04,325.3
organic,boreal,C,0.731,0.4,259.8
organic,tropical,K,1.802,0.57,352.7
organic,boreal,C,0.655,0.47,261.5
conventional,temperate,U,2.196,0.06,273.1
conventional,boreal,F,4.551,0,153.5
organic,boreal,S,0.086,0.42,256.6
organic,tropical,P,1.152,0.49,356.3
conventional,tropical,Y,2.416,0.02,366.6
conventional,temperate,S,2.367,0,280.3
organic,temperate,S,0.3,0.41,278.9
organic,boreal,M,0.537,0.28,234.9
conventional,tropical,O,2.219,0.13,352.4
conventional,boreal,F,2.958,0,254.6
conventional,boreal,R,0.484,0.1,280.8
organic,boreal,H,1.053,0.43,235.8
organic,tropical,M,1.944,0.31,373.2
conventional,temperate,K,2.882,0.01,258.6
organic,temperate,K,1.267,0.49,275.8
conventional,tropical,X,4.566,0.05,308.3
conventional,temperate,N,3.854,0.08,253.7
conventional,temperate,H,1.094,0.06,296.4
conventional,temperate,S,3.059,0.03,271.7
organic,boreal,E,0.662,0.26,274.1
conventional,tropical,U,4.037,0.09,306
organic,boreal,Y,0.859,0.34,281.5
conventional,boreal,V,1.422,0.02,240.8
conventional,tropical,U,3.313,0.05,327.7
conventional,boreal,C,0.502,0.05,245.1
conventional,tropical,S,5.311,0.01,305.9
conventional,boreal,D,2.63,0.12,227.3
organic,tropical,G,2.056,0.54,406.4
conventional,temperate,D,2.489,0.02,298
organic,tropical,E,1.789,0.36,394.4
conventional,boreal,B,3.758,0,151.6
organic,temperate,Y,1.13,0.41,299
organic,boreal,S,0.609,0.33,250.2
conventional,temperate,N,3.21,0.06,243
conventional,temperate,U,2.03,0.02,276.7
organic,boreal,O,0.186,0.55,217.9
organic,tropical,Y,2.192,0.36,338.5
conventional,tropical,V,3.254,0.03,352.8
conventional,tropical,K,4.301,0.02,315.1
conventional,tropical,S,2.987,0.04,355.7
conventional,tropical,J,2.134,0.07,359.6
organic,tropical,O,1.934,0.34,400.8
organic,temperate,F,0.333,0.39,272.9
organic,boreal,J,0.739,0.59,278.7
organic,boreal,K,0.786,0.46,265.2
conventional,tropical,V,3.618,0.07,313.8
organic,temperate,Y,0.549,0.47,275.8
conventional,boreal,I,2.262,0.02,243.3
conventional,temperate,I,2.986,0.05,253.9
organic,boreal,B,0.33,0.51,240.5
conventional,tropical,B,3.863,0,344.9
conventional,boreal,W,1.035,0,216.9
conventional,boreal,D,3.029,0.03,230.4
organic,temperate,X,0.856,0.42,282.5
organic,boreal,R,0.982,0.38,242.5
organic,temperate,O,0.938,0.41,310.7
organic,boreal,W,0.029,0.49,254.1
conventional,tropical,O,0.121,0.05,371.3
organic,tropical,R,1.594,0.35,404.5
conventional,temperate,X,1.837,0.05,248.1
organic,tropical,P,2.579,0.38,387.6
organic,tropical,Z,1.908,0.21,372.9
organic,temperate,L,0.586,0.41,284.1
conventional,temperate,H,0.85,0.01,231.2
organic,temperate,N,0.982,0.29,307.5
conventional,boreal,M,3.681,0.12,232.9
organic,boreal,A,0.358,0.47,266
conventional,temperate,R,4.004,0.03,253.1
organic,tropical,M,1.611,0.46,366.2
conventional,boreal,Q,3.043,0,193.9
conventional,tropical,A,3.803,0,375.6
organic,tropical,G,2.371,0.34,333.8
conventional,tropical,N,2.108,0.12,358.2
conventional,boreal,K,3.648,0.01,228
conventional,tropical,X,4.374,0.02,333.5
organic,boreal,V,0.895,0.35,248.3
conventional,tropical,A,2.247,0,343.9
conventional,tropical,A,1.857,0.02,334.2
organic,boreal,H,1.331,0.42,234.7
organic,temperate,F,1.068,0.47,265.7
conventional,tropical,Z,4.152,0,296.5
organic,tropical,P,0.881,0.39,326.7
conventional,tropical,M,3.223,0,363.3
conventional,tropical,C,4.592,0.06,313.3
organic,tropical,H,1.513,0.56,339.2
conventional,boreal,J,4.231,0.05,203.3
organic,temperate,U,0.837,0.33,279.4
conventional,boreal,Z,2.973,0.05,199.7
organic,tropical,S,2.574,0.42,368.3
conventional,tropical,H,1.508,0.08,343.8
organic,boreal,V,0.965,0.35,244.3
organic,temperate,I,0.687,0.38,292.8
organic,tropical,H,1.889,0.46,328.9
organic,boreal,V,0.446,0.45,197.4
organic,temperate,M,0.481,0.39,309.8
conventional,boreal,Q,1.431,0.04,266.7
conventional,temperate,Z,5.124,0,237.6
organic,boreal,Z,0.77,0.53,246.7
organic,tropical,B,1.417,0.38,366.1
organic,tropical,O,2.205,0.42,320.5
organic,tropical,L,1.806,0.49,370.7
conventional,temperate,I,0.68,0.01,274.6
organic,temperate,K,1.193,0.4,264.4
conventional,temperate,C,2.848,0,242.4
conventional,tropical,P,3.72,0.02,330.2
organic,temperate,A,1.178,0.34,300.8
conventional,boreal,H,3.369,0.03,223.6
organic,temperate,T,0.543,0.54,241.9
organic,tropical,U,2.117,0.35,373.6
organic,temperate,O,0.655,0.45,301.5
organic,boreal,G,0.571,0.37,284.6
organic,temperate,C,0.972,0.46,241.4
organic,tropical,A,1.644,0.56,380.1
conventional,tropical,B,3.22,0.02,351.6
organic,boreal,W,0.619,0.53,253.3
conventional,tropical,A,2.435,0.01,356
conventional,boreal,H,4.523,0,198.8
conventional,temperate,O,4.687,0,209.8
conventional,tropical,W,1.879,0.04,339.3
conventional,temperate,M,3.908,0.05,200.8
conventional,temperate,D,3.471,0.02,289.3
conventional,boreal,I,0.619,0.01,239.8
conventional,tropical,Q,3.159,0.03,322.7
conventional,tropical,S,4.835,0,282.9
organic,temperate,D,0.22,0.41,247.4
organic,tropical,W,1.138,0.54,361.2
organic,boreal,P,0.499,0.42,253
conventional,temperate,C,2.714,0.02,248.5
conventional,boreal,C,2.151,0.04,268.7
organic,tropical,Z,1.44,0.33,371.2
conventional,tropical,J,3.267,0.02,360.1
conventional,tropical,H,3.684,0.03,353.1
conventional,boreal,G,1.852,0,261.1
organic,tropical,O,1.938,0.47,382
conventional,boreal,I,2.352,0.05,218.4
conventional,boreal,R,1.505,0.02,236.4
conventional,tropical,M,2.534,0.02,326
conventional,tropical,D,4.362,0,331.5
conventional,tropical,C,4.387,0,317.1
conventional,temperate,V,2.787,0.02,288.8
conventional,tropical,G,4.271,0.03,343.9
organic,tropical,J,1.144,0.48,370.8
organic,tropical,Q,2.131,0.57,336.9
conventional,temperate,O,1.499,0.06,247.8
conventional,tropical,N,4.314,0.04,358.1
organic,tropical,O,1.267,0.41,402
organic,tropical,G,2.398,0.33,383.4
organic,temperate,N,1.066,0.38,291.4
conventional,boreal,G,3.502,0,182.6
conventional,temperate,Q,2.117,0.01,277.3
conventional,temperate,M,2.714,0.01,246.4
organic,temperate,N,0.53,0.46,299.1
